image,word
A.png,आफोरेस्टेसन भनेको वनीकरण गर्ने कार्य हो जसले जडान गरेको भूमि वा स्थलमा वनस्पति र अन्य प्राणिहरूको बढावामा 
B.png,यसले वातावरणीय संतुलन बनाउँछ र प्राकृतिक संसाधनहरूको देखरेख गर्ने क्रममा महत्वपूर्ण भूमिका
C.png,नेपालमा आफोरेस्टेसनले विभिन्न उपयोगिता छ
D.png,जसमा वातावरण संरक्षण
E.png,जल संरक्षण
F.png,बाढी नियन्त्रण
G.png,वन्यजन्तु र वनस्पति 
H.png,संरक्षण र वन उत्पादन सम्म शामिल हुन्छ।
I.png,विशेषकरून उच्च पहाडी क्षेत्रहरूमा
J.png,जसले भूकम्प र जलवायु परिवर्तनसँग 
K.png,सम्बन्धित जोखिम बढाउँछन्।
L.png,नेपालमा अन्य केही समस्याहरूले आफोरेस्टेसनलाई धेरै आवश्यक बनाउँछन्
M.png,जसमा वनस्पतिहरूको अवस्थित अनुकूलन
N.png,विघटन र अपाङ्गता
O.png,अनुकूलित बटुल्यासन
P.png,अनुगमन र प्रबन्धनको अभाव
Q.png,तथा समुदायका साथीहरूको सामेलता।
R.png,सही प्रबन्धनको अभाव र सामुदायिक साझेदारीका माध्यमबाट नेपालले आफोरेस्टेसन र वनसञ्चालनमा सुधारका लागि 
S.png,सक्रिय भएको छ। 
T.png,राष्ट्रिय र अन्तर्राष्ट्रिय स्तरमा
U.png,नेपालले वनस्पति संरक्षणका लागि मुख्य पहल राखेको छ र आफोरेस्टेसनले
V.png,देशको स्थायी विकासमा महत्वपूर्ण भूमिका निभाउँदै आएको छ।
W.png,वनकट नेपालमा एक महत्वपूर्ण पर्यावरणीय समस्या हो।
X.png,यसले प्राकृतिक संसाधनहरू
Y.png,र अर्थिक विकासमा 
Z.png,गहिरो प्रभाव गर्छ।
A1.png,वनकटको मुख्य कारणहरूमा भूमि उपयोगका लागि वनस्पति काटन
A2.png,अवैध वनस्पति व्यवस्थापन
A3.png,वनस्पति विपरीत विकास
A4.png,र वनस्पति बेचबिक्रि शामिल हुन्छ।
A5.png,नेपालमा जनसंख्याको वृद्धि
A6.png,विकासका लागि भूमि उपयोगका लागि विभिन्न कारणहरूले वनकटलाई बढावा दिएको छ। 
A7.png,जनसंख्याको वृद्धि र सहरीकरणले वनकटको मुख्य कारणहरू हुन्।
A8.png,यसका परिणामस्वरूप
A9.png,नेपालमा बसोबास
A10.png,कृषि
A11.png,अवसर उत्पादनका लागि भूमि कमी भएको छ
A12.png,जसले वनकटमा वृद्धि गर्दछ।
A13.png,यसका साथै
A14.png,वन विध्वंस र जलवायु
A15.png,परिवर्तनका प्रभावले पनि वनकटलाई बढावा दिएको छ।
A16.png,नेपालमा अवैध वनस्पति व्यवस्थापन र वनस्पति विपरीत विकास गर्दा वनकटको समस्या मात्र बढ्छ।
A17.png,सरकारी नियमित
A18.png,नियन्त्रण र नियमहरूको कमजोरी
A19.png,अवैध वनस्पति व्यवस्थापनका लागि अपर्याप्त विकल्पहरू
A20.png,वनस्पति विपरीत
A21.png,विकासको लागि सामुदायिक सहभागिता विकास भएको छ।
A22.png,अत्यन्तै महत्वपूर्ण छ नेपालको वनकट समस्याको समाधानका लागि विभिन्न कदमहरू अद्यावधिक गर्नु पर्छ।
A23.png,सशक्त नियमित
A24.png,वनस्पति व्यवस्थापन
A25.png,स्थायी संवेदनशील वन संवर्धनका लागि नीति र कार्यक्रमहरू अगाडि बढाउन प्रयास गर्नुपर्छ। 
A26.png,समुदायिक सहभागिता
A27.png,जनसंख्या नियन्त्रण
A28.png,वनस्पति संरक्षण
A29.png,र अर्थात्मक विकासका लागि साथै गर्नुपर्छ।
A30.png,समस्याहरूको अनुकरण गर्दा
A31.png,वनकटका असरहरूलाई कम गर्न र प्राकृतिक संसाधनहरूको संरक्षण गर्न प्रयास गर्दा
A32.png,नेपाल विकासको विकासमा मध्यस्थता गर्ने भएको छ।
a51.png,काष्ठमण्डप
b1.png,जसलाई मारु सताल पनि भनिन्छ
c1.png,काठमाण्डौ
d1.png,नेपालको मुटुमा अवस्थित पुरातन काठको प्यागोडा शैलीको संरचना हो।
e1.png,१२ औं शताब्दीमा राजा लक्ष्मी नरसिंह मल्लले निर्माण गरेको काष्ठमण्डप एउटै सालको रुखबाट बनेको मानिन्छ ।
f1.png,"काष्ठमण्डप नामले ""काठको मंडप"" लाई अनुवाद गर्छ"
g1.png,यसको मूल उद्देश्य सार्वजनिक विश्राम गृह र सभा हलको रूपमा झल्काउँछ। 
h1.png,"मन्दिर ऐतिहासिक रूपमा महत्त्वपूर्ण छ किनकि यसले यसको नाम काठमाडौं शहर (""काष्ठमण्डप"") लाई दिएको छ र धार्मिक"
i1.png,सामाजिक र सांस्कृतिक गतिविधिहरूको लागि केन्द्रको रूपमा सेवा गरेको छ।
j1.png,दुर्भाग्यवश
k1.png,२०७२ भूकम्पको समयमा संरचनालाई गम्भीर रूपमा क्षतिग्रस्त भएको थियो तर यसको सांस्कृतिक विरासत जोगाउन पुनर्निर्माण प्रयासहरू भइरहेको छ।
l1.png,नेपाल
m1.png,काठमाडौंको उत्तरपूर्वी बाहिरी भागमा अवस्थित बौद्धनाथ स्तूपा
n1.png,विश्वको सबैभन्दा ठूलो स्तूपहरू मध्ये एक र बौद्धहरूको लागि महत्त्वपूर्ण तीर्थस्थल हो।
o1.png, १४औँ शताब्दीमा निर्माण भएको मानिने बौद्धनाथ स्तूप शान्ति र ज्ञानको प्रतीकका रूपमा उभिएको छ।
p1.png,स्तूपको विशाल मण्डला
q1.png, गुम्बज र शिखर रंगीन प्रार्थना झण्डा र असंख्य बुद्ध आँखाहरूले सजाइएको छ
r1.png,जुन बुद्धि र करुणाको प्रतीक हो।
s1.png, स्तुपा वरपर मठहरू
t1.png,बौद्ध अनुष्ठान वस्तुहरू बेच्ने पसलहरू
u1.png,र क्याफेहरू यस प्रभावशाली संरचनाको दृश्य प्रस्तुत गर्छन्।
v1.png,नेपाल र बौद्ध विश्वका लागि यसको सांस्कृतिक र आध्यात्मिक महत्त्वलाई मान्यता दिँदै बौद्धनाथ स्तूपलाई सन् १९७९ मा युनेस्कोले विश्व सम्पदा क्षेत्रको रूपमा तोकेको थियो।
w1.png, यो भक्ति र तीर्थयात्राको केन्द्र बनेको छ
x1.png,जसले आध्यात्मिक शान्ति र सांस्कृतिक अन्तरदृष्टि खोज्ने आगन्तुकहरूलाई आकर्षित गर्दछ।
y1.png,दक्षिणकाली मन्दिर
z1.png,काठमाडौंबाट २२ किलोमिटर दक्षिणमा
a52.png,नेपाल
a53.png,देवी कालीलाई समर्पित एक प्रमुख हिन्दू मन्दिर हो।
a54.png,14 औं शताब्दीमा राजा प्रताप मल्लको शासनकालमा स्थापना भएको यो मन्दिर विशेष गरी दशैं पर्वको समयमा महत्त्वपूर्ण धार्मिक अनुष्ठान र पशुबलिको लागि प्रख्यात छ।
a55.png,हरियाली जङ्गलले घेरिएको रमणीय उपत्यकामा अवस्थित दक्षिणकाली मन्दिर युनेस्कोको विश्व सम्पदा स्थल होइन तर 
a56.png,भयंकर देवी कालीबाट आशीर्वाद लिन चाहने भक्तहरूको लागि आवश्यक तीर्थस्थल बनेको छ।
a57.png,मन्दिरको आकर्षक वास्तुकला
a58.png,जीवन्त धार्मिक गतिविधिहरू
a59.png,र रमणीय स्थानले यसलाई नेपालको सांस्कृतिक र आध्यात्मिक परिदृश्यको एक उल्लेखनीय विशेषता बनाउँछ।
a60.png,काठमाडौं दरबार स्क्वायर
a61.png,वास्तवमा
a62.png,नेपालमा ठूलो ऐतिहासिक र सांस्कृतिक महत्व राख्छ।
a63.png,नेवार वास्तुकला झल्काउने जटिल नक्काशीदार मन्दिर र दरबार परिसरहरू देखाउँदै मल्ल कालमा प्रमुख थपहरूसहित चौरको
a64.png,निर्माण तेस्रो शताब्दीमा सुरु भएको थियो।
a65.png,एक उल्लेखनीय संरचना मध्ये एक नौतले दरबार हो
a66.png,पृथ्वीनारायण शाहले नेपालको एकीकरणको लागि निर्माण गरेको नौ तले दरबार।
