image,word
1.png,भक्तपुर दरबार स्क्वायर
2.png,कुनै समय मल्ल राजाहरू र पछि १७६९ सम्म भक्तपुरका शासकहरूको शाही दरबार
3.png,नेपालमा युनेस्को विश्व सम्पदा क्षेत्र हो
4.png, सन् १९३४ र २०१५ को भूकम्पले क्षतिग्रस्त भएको यस क्षेत्रलाई नेपालको पुरातत्व विभाग र भक्तपुर नगरपालिकाले पुनःनिर्माणको प्रयास जारी राखेको छ।
5.png,यस वर्गमा प्राचीन दरबारहरू
6.png,यक्ष मल्लद्वारा निर्मित चार धाम प्रतिकृति जस्ता मन्दिरहरू र उग्रचण्डी र उग्रभैरव जस्ता महत्त्वपूर्ण मूर्तिहरू समावेश छन्।
7.png,धेरै भवनहरू गुमाए पनि
8.png,यो नेपालको समृद्ध सांस्कृतिक इतिहास र लचिलोपनको महत्त्वपूर्ण प्रतीक बनेको छ
9.png,जसले विश्वभरका आगन्तुकहरूलाई आकर्षित गर्दछ।
10.png,नेपालको अर्घाखाँची जिल्लाको सन्धिखर्क नगरपालिकामा अवस्थित सुपा देउराली मन्दिर करिब ४५०० फिटको उचाइमा रहेको सुपादेवी मन्दिरमा भक्तजनको मनोकामना पूरा गर्ने विश्वास गरिन्छ।
11.png,देवी भगवतीसँगै
12.png,मन्दिरमा गणेश
13.png,महाकाली
14.png,महालक्ष्मी र शिवका मूर्तिहरू पनि छन्।
15.png,भक्तहरूबाट चन्दाले दुई स्थानीय विद्यालय सञ्चालनमा योगदान पुर्‍याउँछ
16.png,जसले समुदायको समर्थनमा मन्दिरको भूमिकालाई झल्काउँछ
17.png,बैसे-चौबिसे युगको स्थानीय पौराणिक कथा अनुसार
18.png,मन्दिरको उत्पत्ति शाही विवाह जुलुसमा भएको दुखद घटनासँग जोडिएको छ।
19.png,अर्घाखाँची फर्किएपछि बेहुलीको जातलाई लिएर विवाद भयो र उनले आत्महत्या गरेकी हुन् ।
20.png,उनको मृत्युपछि एउटा रहस्यमय रोगले गाउँमा असर पारेको थियो जबसम्म झंक्री (शमन)ले मृतक राजकुमारीलाई पूजा गरिनु पर्ने देवी बनेको सल्लाह दिए। 
21.png,त्यसपछि गाउँलेहरूले मन्दिर स्थापना गरे जहाँ उनको रगत देखा परेको थियो
22.png,श्रद्धाको परम्परा सुरु भयो।
23.png,ऐतिहासिक रूपमा
24.png,मन्दिर   १६०० बी.एस. खाँचीका राजा विश्वपाल शाहले आफ्नी छोरी सुवर्णकुमारीको सम्मानमा भगवती देवीको स्थापना गरेका थिए। 
25.png,विसं २०४० देखि दैनिक पूजाआजा गरिँदै आएको छ भने २०४२ सालमा नयाँ प्यागोडा आकारको संरचना निर्माण भएको थियो ।
26.png,पशु बलिहरू विशेष शुभ दिनहरूमा पूजा प्रथाहरूको एक भाग हो
27.png,यस क्षेत्रमा मन्दिरको सांस्कृतिक र धार्मिक महत्त्वलाई हाइलाइट गर्दछ
28.png,भद्रकाली मन्दिर
29.png,जसलाई श्री लुमढी भद्रकाली पनि भनिन्छ
30.png,एक प्रमुख हिन्दू मन्दिर हो जुन काठमाडौं
31.png,नेपालको सहिद गेट नजिक टुँडिखेलको छेउमा अवस्थित छ।
32.png,देवी भद्रकालीलाई समर्पित
