image,word
A.png,आफोरेस्टेसन भनेको वनीकरण गर्ने कार्य हो जसले जडान गरेको भूमि वा स्थलमा वनस्पति र अन्य प्राणिहरूको बढावामा 
B.png,यसले वातावरणीय संतुलन बनाउँछ र प्राकृतिक संसाधनहरूको देखरेख गर्ने क्रममा महत्वपूर्ण भूमिका
C.png,नेपालमा आफोरेस्टेसनले विभिन्न उपयोगिता छ
D.png,जसमा वातावरण संरक्षण
E.png,जल संरक्षण
F.png,बाढी नियन्त्रण
G.png,वन्यजन्तु र वनस्पति 
H.png,संरक्षण र वन उत्पादन सम्म शामिल हुन्छ।
I.png,विशेषकरून उच्च पहाडी क्षेत्रहरूमा
J.png,जसले भूकम्प र जलवायु परिवर्तनसँग 
K.png,सम्बन्धित जोखिम बढाउँछन्।
L.png,नेपालमा अन्य केही समस्याहरूले आफोरेस्टेसनलाई धेरै आवश्यक बनाउँछन्
M.png,जसमा वनस्पतिहरूको अवस्थित अनुकूलन
N.png,विघटन र अपाङ्गता
O.png,अनुकूलित बटुल्यासन
P.png,अनुगमन र प्रबन्धनको अभाव
Q.png,तथा समुदायका साथीहरूको सामेलता।
R.png,सही प्रबन्धनको अभाव र सामुदायिक साझेदारीका माध्यमबाट नेपालले आफोरेस्टेसन र वनसञ्चालनमा सुधारका लागि 
S.png,सक्रिय भएको छ। 
T.png,राष्ट्रिय र अन्तर्राष्ट्रिय स्तरमा
U.png,नेपालले वनस्पति संरक्षणका लागि मुख्य पहल राखेको छ र आफोरेस्टेसनले
V.png,देशको स्थायी विकासमा महत्वपूर्ण भूमिका निभाउँदै आएको छ।
W.png,वनकट नेपालमा एक महत्वपूर्ण पर्यावरणीय समस्या हो।
X.png,यसले प्राकृतिक संसाधनहरू
Y.png,र अर्थिक विकासमा 
Z.png,गहिरो प्रभाव गर्छ।
A1.png,वनकटको मुख्य कारणहरूमा भूमि उपयोगका लागि वनस्पति काटन
A2.png,अवैध वनस्पति व्यवस्थापन
A3.png,वनस्पति विपरीत विकास
A4.png,र वनस्पति बेचबिक्रि शामिल हुन्छ।
A5.png,नेपालमा जनसंख्याको वृद्धि
A6.png,विकासका लागि भूमि उपयोगका लागि विभिन्न कारणहरूले वनकटलाई बढावा दिएको छ। 
A7.png,जनसंख्याको वृद्धि र सहरीकरणले वनकटको मुख्य कारणहरू हुन्।
A8.png,यसका परिणामस्वरूप
A9.png,नेपालमा बसोबास
A10.png,कृषि
A11.png,अवसर उत्पादनका लागि भूमि कमी भएको छ
A12.png,जसले वनकटमा वृद्धि गर्दछ।
A13.png,यसका साथै
A14.png,वन विध्वंस र जलवायु
A15.png,परिवर्तनका प्रभावले पनि वनकटलाई बढावा दिएको छ।
A16.png,नेपालमा अवैध वनस्पति व्यवस्थापन र वनस्पति विपरीत विकास गर्दा वनकटको समस्या मात्र बढ्छ।
A17.png,सरकारी नियमित
A18.png,नियन्त्रण र नियमहरूको कमजोरी
A19.png,अवैध वनस्पति व्यवस्थापनका लागि अपर्याप्त विकल्पहरू
A20.png,वनस्पति विपरीत
A21.png,विकासको लागि सामुदायिक सहभागिता विकास भएको छ।
A22.png,अत्यन्तै महत्वपूर्ण छ नेपालको वनकट समस्याको समाधानका लागि विभिन्न कदमहरू अद्यावधिक गर्नु पर्छ।
A23.png,सशक्त नियमित
A24.png,वनस्पति व्यवस्थापन
A25.png,स्थायी संवेदनशील वन संवर्धनका लागि नीति र कार्यक्रमहरू अगाडि बढाउन प्रयास गर्नुपर्छ। 
A26.png,समुदायिक सहभागिता
A27.png,जनसंख्या नियन्त्रण
A28.png,वनस्पति संरक्षण
A29.png,र अर्थात्मक विकासका लागि साथै गर्नुपर्छ।
A30.png,समस्याहरूको अनुकरण गर्दा
A31.png,वनकटका असरहरूलाई कम गर्न र प्राकृतिक संसाधनहरूको संरक्षण गर्न प्रयास गर्दा
A32.png,नेपाल विकासको विकासमा मध्यस्थता गर्ने भएको छ।
